verdict,statement_originator,statement,statement_date,statement_source,factchecker,factcheck_date,factcheck_analysis_link
TRUE,Barack Obama,"When Mitt Romney was governor of Massachusetts, he ""stood in front of a coal plant and pointed at it and said, ‘This plant kills.’""",10/16/2012,speech,Stephen Koff,10/16/2012,https://www.politifact.com/factchecks/2012/oct/17/barack-obama/obama-says-romney-once-said-coal-burning-plant-kil/
TRUE,Barack Obama,"John McCain wants to ""give oil companies another $4-billion"" in tax breaks.",9/26/2008,other,Robert Farley,9/26/2008,https://www.politifact.com/factchecks/2008/sep/26/barack-obama/better-context-for-a-once-questionable-tax-claim/
TRUE,Barack Obama,"""More than half of all black children live in single-parent households, a number that has doubled — doubled — since we were children.""",6/15/2008,speech,Stephanie Garry,6/23/2008,https://www.politifact.com/factchecks/2008/jun/23/barack-obama/statistics-dont-lie-in-this-case/
mostly-false,Donald Trump,"""NAFTA, signed by Bill Clinton, has been a disaster for Pennsylvania.""",8/13/2016,news,Mark Dent,8/18/2016,https://www.politifact.com/factchecks/2016/aug/18/donald-trump/real-impact-nafta-pennsylvania-vs-donald-trumps-cl/
half-true,Joe Biden,"Says Republicans Mitt Romney and Paul Ryan support ""massive cuts in Social Security for future generations.""",9/2/2012,speech,Dave Umhoefer,9/5/2012,https://www.politifact.com/factchecks/2012/sep/05/joe-biden/biden-says-romney-and-ryan-support-massive-cuts-so/
FALSE,Lindsey Graham,"Says House Democrats leading the impeachment inquiry are ""denying President Trump basic fairness and due process accorded every American.""",10/24/2019,other,Bill McCarthy,10/28/2019,https://www.politifact.com/factchecks/2019/oct/28/lindsey-graham/graham-wrong-house-impeachment-inquiry-denies-trum/
FALSE,Kevin McCarthy,"Raising the national minimum wage to $15 per hour ""would destroy up to 3.7 million jobs.""",2/9/2021,news,Chris Nichols,2/11/2021,https://www.politifact.com/factchecks/2021/feb/11/kevin-mccarthy/gop-house-leader-kevin-mccarthy-distorts-job-loss-/
mostly-false,John McCain,"""The Taliban went after and murdered"" people identified in the Chelsea Manning leaks.",1/18/2017,news,Lauren Carroll,2/1/2017,https://www.politifact.com/factchecks/2017/feb/01/john-mccain/mccain-says-taliban-murdered-people-because-chelse/
half-true,Donald Trump,"""Apple has just announced it plans to invest a total of $350 billion in America, and hire another 20,000 workers.""",1/30/2018,speech,Jon Greenberg,1/31/2018,https://www.politifact.com/factchecks/2018/jan/31/donald-trump/donald-trump-inflates-apple-investment/
mostly-true,Barack Obama,"""America is No. 1 in wind power.""",1/20/2015,speech,Joshua Gillin,1/21/2015,https://www.politifact.com/factchecks/2015/jan/21/barack-obama/america-no-1-wind-power-obama-says/
mostly-true,Kamala Harris,"""Studies have shown Latinos are more than 40 percent less likely to call 911 when they have been a victim of a crime.""",2/16/2017,speech,Chris Nichols,2/24/2017,https://www.politifact.com/factchecks/2017/feb/24/kamala-harris/mostly-true-latinos-40-percent-less-likely-call-po/
half-true,Kamala Harris,"Mitt Romney said we should let foreclosures ""hit the bottom.""",9/5/2012,speech,Molly Moorhead,9/5/2012,https://www.politifact.com/factchecks/2012/sep/06/kamala-harris/Kamala-Harris-Romney-favors-letting-foreclosures/
FALSE,Marco Rubio,Did not vote for tax increases as a member of the West Miami City Commission.,3/28/2010,news,Aaron Sharockman,3/28/2010,https://www.politifact.com/factchecks/2010/mar/28/marco-rubio/rubio-says-he-didnt-vote-tax-increases-member-west/
pants-fire,Donald Trump,"""They have 180 million people, families under what he wants to do, which will basically be socialized medicine — you won’t even have a choice — they want to terminate 180 million plans.""",10/22/2020,speech,Victoria Knight,10/23/2020,https://www.politifact.com/factchecks/2020/oct/23/donald-trump/trumps-misguided-claim-bidens-health-plan-will-ter/
mostly-true,Ted Cruz,"""A majority of the candidates on this stage have supported amnesty ... I have never supported amnesty.""",8/6/2015,speech,Lauren Carroll,8/7/2015,https://www.politifact.com/factchecks/2015/aug/07/ted-cruz/ted-cruz-most-gop-candidates-have-supported-amnest/
TRUE,Joe Biden,"""I’ve released 22 years of my tax returns. You can go online and look. (Donald Trump) hasn’t released one.""",10/31/2020,speech,Bill McCarthy,10/31/2020,https://www.politifact.com/factchecks/2020/oct/31/joe-biden/yes-joe-biden-has-released-22-years-tax-returns-on/
pants-fire,Donald Trump,"Says the U.S. election system is ""rigged.""",8/1/2016,news,Linda Qiu,8/15/2016,https://www.politifact.com/factchecks/2016/aug/15/donald-trump/donald-trumps-baseless-claims-about-election-being/
half-true,Ted Cruz,Says the claim that 40 percent of guns are sold without background checks traces to information gathered before background checks were even required.,1/30/2013,testimony,W. Gardner Selby,2/4/2013,https://www.politifact.com/factchecks/2013/feb/04/ted-cruz/ted-cruz-says-claim-40-percent-guns-are-sold-witho/
half-true,Joe Biden,"People who are vaccinated for the coronavirus ""cannot spread it to you.""",10/7/2021,speech,Louis Jacobson,10/14/2021,https://www.politifact.com/factchecks/2021/oct/14/joe-biden/joe-biden-overstates-effectiveness-vaccines-preven/
FALSE,Barack Obama,"""Most young Americans right now, they’re not covered"" by health insurance.",3/11/2014,news,Louis Jacobson,3/11/2014,https://www.politifact.com/factchecks/2014/mar/11/barack-obama/between-two-ferns-interview-barack-obama-says-most/
mostly-true,Marco Rubio,"""The child tax credit, if we don't do it, there will be no tax relief for working families. How much tax relief working families get under tax reform is entirely dependent on whether or not we put in place an increase to the child tax credit.""",10/15/2017,news,Allison Graves,10/19/2017,https://www.politifact.com/factchecks/2017/oct/19/marco-rubio/rubio-says-child-tax-credit-key-amount-tax-relief-/
TRUE,Greg Abbott,Says Texas ranks among the nation’s top five states for its high school graduation rate.,2/19/2018,meeting,W. Gardner Selby,3/2/2018,https://www.politifact.com/factchecks/2018/mar/02/greg-abbott/greg-abbott-says-texas-ranks-among-5-top-states-it/
mostly-true,Joe Biden,"""Roadside bombs are responsible for 70 percent of casualties in Iraq and these new mine-resistant vehicles can reduce those casualties by two-thirds.""",5/23/2007,news,David DeCamp,8/20/2007,https://www.politifact.com/factchecks/2007/aug/20/joe-biden/new-trucks-are-safer-but-how-much/
mostly-false,Donald Trump,"In Chicago, which has the toughest gun laws in the United States, probably you could say by far, they have more gun violence than any other city.",10/19/2016,speech,Matt Dietrich,11/3/2016,https://www.politifact.com/factchecks/2016/nov/03/donald-trump/trump-no-marksman-when-aiming-chicago-gun-laws/
pants-fire,Donald Trump,"Says President Barack Obama’s recent New York fundraising trip ""cost between $25 million and $50 million.""",10/13/2014,news,Jon Greenberg,10/14/2014,https://www.politifact.com/factchecks/2014/oct/14/donald-trump/trump-obama-fundraising-trip-cost-25-50-million/
TRUE,Donald Trump,"The Dow Jones Industrial Average ""jumped 1000 points in last 5 weeks, Record fastest 1000 point move in history.""",1/5/2018,social_media,Louis Jacobson,1/8/2018,https://www.politifact.com/factchecks/2018/jan/08/donald-trump/donald-trump-right-dow-jones-had-its-fastest-ever-/
mostly-false,Barack Obama,"""Already we've identified $2 trillion in deficit reductions over the next decade.""",4/14/2009,speech,Angie Drobnic Holan,4/21/2009,https://www.politifact.com/factchecks/2009/apr/21/barack-obama/obamas-claim-deficit-depends-how-you-figure-number/
FALSE,Mike Pence,"""Anybody who is familiar with the historical data from the IRS knows that raising income tax rates will likely actually reduce federal revenues.""",11/7/2010,news,Angie Drobnic Holan,11/9/2010,https://www.politifact.com/factchecks/2010/nov/09/mike-pence/mike-pence-says-raising-taxes-lowers-tax-revenues/
TRUE,Bill Clinton,"The Obama administration is allowing state waivers from welfare work requirements ""only if they had a credible plan to increase employment by 20 percent.""",9/5/2012,speech,Molly Moorhead,9/10/2012,https://www.politifact.com/factchecks/2012/sep/10/bill-clinton/bill-clinton-says-obama-administration-trying-boos/
mostly-false,Ted Cruz,"""The EPA has tried to define a puddle or a drainage ditch on your farm to be navigable waters and thus subject to massive environmental regulations.""",3/30/2016,television,Amy Sherman,3/31/2016,https://www.politifact.com/factchecks/2016/mar/31/ted-cruz/ted-cruz-says-epa-tried-regulate-puddles-and-drain/
FALSE,Joe Biden,"""I’ve been in and out of Iraq and Afghanistan over 40 times.""",3/1/2022,speech,Samantha Putterman,3/3/2022,https://www.politifact.com/factchecks/2022/mar/03/joe-biden/biden-exaggerates-trips-iraq-afghanistan-state-uni/
half-true,Donald Trump,"""You can be an NFL player with murder charges and not be suspended.""",5/13/2015,social_media,Katie Sanders,5/18/2015,https://www.politifact.com/factchecks/2015/may/18/donald-trump/trump-tees-tom-bradys-suspension-says-players-murd/
mostly-false,Greg Abbott,"""Wendy Davis’ legal work is currently under FBI investigation.""",6/26/2014,other,W. Gardner Selby,6/27/2014,https://www.politifact.com/factchecks/2014/jun/27/greg-abbott/greg-abbott-lacks-proof-wendy-davis-under-fbi-scru/
FALSE,Joe Biden,"""No governor in Virginia has ever won when...he or she is the same party as the sitting president.""",11/3/2021,news,Warren Fiske,11/12/2021,https://www.politifact.com/factchecks/2021/nov/12/joe-biden/biden-botches-claim-about-virginia-elections/
half-true,Marco Rubio,"""I'm running for office with much more experience and qualifications than Barack Obama had when he ran.""",4/25/2015,speech,Joshua Gillin,4/29/2015,https://www.politifact.com/factchecks/2015/apr/29/marco-rubio/rubio-says-he-more-experienced-and-qualified-obama/
mostly-true,Barack Obama,"""Factories are opening their doors at the fastest pace in almost two decades.""",1/9/2015,speech,Lauren Carroll,1/20/2015,https://www.politifact.com/factchecks/2015/jan/20/barack-obama/obama-more-factories-opening-today-two-decades-ago/
half-true,Joe Biden,"""The average CEO makes $10,000 more every day ... than what the average worker makes every year.""",3/5/2009,speech,Robert Farley,3/6/2009,https://www.politifact.com/factchecks/2009/mar/06/joe-biden/biden-points-out-disparities-between-ceo-and-avera/
mostly-false,Barack Obama,"Hillary Clinton ""agrees with (John McCain) in embracing the Bush-Cheney policy of not talking to leaders we don't like.""",1/30/2008,other,Angie Drobnic Holan,2/1/2008,https://www.politifact.com/factchecks/2008/feb/01/barack-obama/clinton-endorses-diplomacy/
TRUE,Barack Obama,"Some Republicans who voted against the stimulus ""have been all too happy to claim credit for Recovery Act projects and the jobs those projects have produced. They come to the ribbon cuttings.""",2/2/2010,meeting,Louis Jacobson,2/5/2010,https://www.politifact.com/factchecks/2010/feb/05/barack-obama/obama-criticizes-republicans-who-opposed-stimulus-/
pants-fire,Donald Trump,"A 1993 example of voter fraud in Philadelphia is ""exactly what happened to us"" in the 2020 election.",11/13/2020,social_media,Jessica Calefati,11/19/2020,https://www.politifact.com/factchecks/2020/nov/19/donald-trump/trump-says-philly-democrats-stole-election-90s-tru/
mostly-true,John McCain,"""George Bush, and a Republican Congress, have presided over a 55 percent increase in the size of domestic government spending in the last seven years.""",6/17/2008,campaign,Adriel Bettelheim,6/18/2008,https://www.politifact.com/factchecks/2008/jun/18/john-mccain/right-on-the-number-just-a-year-off/
pants-fire,Donald Trump,"Says Joe Biden ""will destroy your protections for pre-existing conditions.""",9/10/2020,speech,Miriam Valverde,9/11/2020,https://www.politifact.com/factchecks/2020/sep/11/donald-trump/donald-trumps-ridiculous-claim-about-joe-biden-and/
mostly-false,Barack Obama,"""I didn't campaign on a public option.""",12/22/2009,news,Angie Drobnic Holan,12/23/2009,https://www.politifact.com/factchecks/2009/dec/23/barack-obama/public-option-obama-platform/
FALSE,Donald Trump,"Says Rep. Ilhan Omar, D-Minn., was ""speaking about how wonderful al-Qaida is.""",7/15/2019,speech,Louis Jacobson,7/16/2019,https://www.politifact.com/factchecks/2019/jul/16/donald-trump/donald-trump-twists-ilhan-omar-comments/
pants-fire,Donald Trump,"There was ""serious voter fraud"" in Virginia.",11/27/2016,social_media,Sean Gorman,11/29/2016,https://www.politifact.com/factchecks/2016/nov/29/donald-trump/trumps-pants-fire-serious-voter-fraud-claim-virgin/
mostly-true,Donald Trump,"America’s federal business tax rate is the highest ""in the world.""",12/13/2016,speech,Tom Kertscher,12/15/2016,https://www.politifact.com/factchecks/2016/dec/15/donald-trump/pledging-cuts-donald-trump-says-wisconsin-rally-us/
mostly-true,Barack Obama,"""We've heard talk about curbing our use of fossil fuels in nearly every State of the Union address since the oil embargo of 1973.""",7/11/2008,speech,Alexander Lane,7/18/2008,https://www.politifact.com/factchecks/2008/jul/18/barack-obama/senator-did-you-check-all-those-state-of-the-union/
mostly-false,Donald Trump,"Says his budget ""calls for one of the largest increases in national defense spending in American history.""",2/28/2017,speech,Jon Greenberg,3/1/2017,https://www.politifact.com/factchecks/2017/mar/01/donald-trump/trump-wrongly-claims-historic-defense-increase/
TRUE,John McCain,"""Sen. Obama has never taken on his party leaders on a single major issue.""",10/7/2008,other,Shawn Zeller,12/3/2008,https://www.politifact.com/factchecks/2008/dec/03/john-mccain/obamas-no-maverick/
half-true,Barack Obama,Says Mitt Romney's comments indicated he would not have pursued Osama bin Laden.,4/27/2012,advertisement,Becky Bowers,4/30/2012,https://www.politifact.com/factchecks/2012/apr/30/barack-obama/obama-ad-says-mitt-romneys-view-killing-bin-laden/
FALSE,Barack Obama,"""Gas prices have never been higher, and Exxon Mobil's profits have never been higher.""",12/26/2007,speech,Asjylyn Loder,12/31/2007,https://www.politifact.com/factchecks/2007/dec/31/barack-obama/hes-a-year-too-late-on-this-energy-claim/
mostly-true,Donald Trump,"""We’re … getting into the pool of the 100 million people that are not working. That pool is now coming back.""",12/6/2017,meeting,Louis Jacobson,12/7/2017,https://www.politifact.com/factchecks/2017/dec/07/donald-trump/donald-trump-says-job-market-getting-non-workers-w/
FALSE,Donald Trump,"""The person that shot Ashli Babbitt — boom — right through the head — just boom — there was no reason for that.""",7/7/2021,news,Louis Jacobson,7/8/2021,https://www.politifact.com/factchecks/2021/jul/08/donald-trump/fact-checking-donald-trump-there-being-no-reason-s/
FALSE,Bernie Sanders,"The Koch Brothers are ""spending more money than either the Democratic or Republican parties"" in the 2016 elections.",10/28/2015,speech,Sean Gorman,11/6/2015,https://www.politifact.com/factchecks/2015/nov/06/bernie-sanders/sanders-says-koch-brothers-are-outspending-either-/
mostly-false,Donald Trump,"Crimea ""was sort of taken away from President Obama. … And he wanted Russia to be out of what was called the G-8. And that was his determination.""",8/26/2019,news,Louis Jacobson,8/27/2019,https://www.politifact.com/factchecks/2019/aug/27/donald-trump/donald-trump-misleads-russia-crimea-obama/
mostly-true,Bernie Sanders,"Says an array of statistics show that conditions in some parts of Baltimore rival that of ""the West Bank in Palestine,"" ""North Korea,"" and ""distressed cities in Nigeria, India, China and South Africa.""",4/24/2016,speech,Linda Qiu,4/28/2016,https://www.politifact.com/factchecks/2016/apr/28/bernie-sanders/bernie-sanders-says-conditions-baltimore-no-better/
pants-fire,Barack Obama,"""If you actually took the number of Muslims [sic] Americans, we'd be one of the largest Muslim countries in the world.""",6/1/2009,news,Catharine Richert,6/4/2009,https://www.politifact.com/factchecks/2009/jun/04/barack-obama/obama-claims-america-one-largest-muslim-countries/
mostly-true,Barack Obama,"""We've recovered (from the recession) faster and come farther than almost any other advanced country on Earth.""",7/17/2014,speech,Lauren Carroll,7/23/2014,https://www.politifact.com/factchecks/2014/jul/23/barack-obama/obama-us-has-recovered-recession-better-almost-eve/
pants-fire,Greg Abbott,"""We’ve had about 3,000 murders"" in connection with lax border security.",7/22/2014,news,W. Gardner Selby,7/29/2014,https://www.politifact.com/factchecks/2014/jul/29/greg-abbott/greg-abbott-attributes-3000-murders-immigrants-her/
pants-fire,John McCain,Obama wants to increase the size of government by 23 percent.,8/20/2008,radio,Richard Rubin,8/23/2008,https://www.politifact.com/factchecks/2008/aug/23/john-mccain/mccains-math-is-not-even-close/
mostly-false,Donald Trump,"Says Jon Ossoff wants to ""allow illegal immigration.""",4/17/2017,social_media,Miriam Valverde,4/17/2017,https://www.politifact.com/factchecks/2017/apr/17/donald-trump/trump-makes-false-claim-about-jon-ossoffs-immigrat/
mostly-true,Marco Rubio,"""We have an Army that just cut 40,000 spots.""",8/18/2015,speech,Amy Sherman,8/20/2015,https://www.politifact.com/factchecks/2015/aug/20/marco-rubio/marco-rubio-says-army-just-cut-40000-spots/
mostly-false,Donald Trump,"""I did not — I did not — I do not say that. I do not say that"" climate change is a hoax perpetrated by the Chinese.",9/26/2016,speech,Lauren Carroll,9/26/2016,https://www.politifact.com/factchecks/2016/sep/27/donald-trump/donald-trump-denies-saying-global-warming-chinese-/
TRUE,Barack Obama,"""While I was working on those streets watching those folks see their jobs shift overseas, you were a corporate lawyer sitting on the board at Wal-Mart.""",1/21/2008,speech,Bill Adair,1/22/2008,https://www.politifact.com/factchecks/2008/jan/22/barack-obama/hillary-went-the-wal-mart-way/
mostly-false,Barack Obama,"McCain ""said no to higher fuel-efficiency standards for cars.""",8/28/2008,speech,Richard Rubin,8/28/2008,https://www.politifact.com/factchecks/2008/aug/28/barack-obama/mccain-has-a-mixed-record-on-fuel-economy-standard/
FALSE,Donald Trump,"""Cuomo ended cash bail ... and now the crime rate has gone through the roof.""",8/20/2020,speech,Jill Terreri Ramos,8/29/2020,https://www.politifact.com/factchecks/2020/aug/29/donald-trump/trumps-claim-linking-crime-rates-bail-reform-lacks/
mostly-false,Greg Abbott,"Says the Biden administration is choosing to send baby formula to the border as one of its ""out-of-touch priorities.""",5/12/2022,news,Madison Czopek,5/13/2022,https://www.politifact.com/factchecks/2022/may/13/greg-abbott/providing-baby-formula-babies-held-border-legal-re/
pants-fire,Donald Trump,"""Now, they’re doing tests on airlines — very strong tests — for getting on, getting off. They’re doing tests on trains — getting on, getting off.""",4/1/2020,other,Amy Sherman,4/6/2020,https://www.politifact.com/factchecks/2020/apr/06/donald-trump/donald-trump-wrong-about-covid-19-testing-airplane/
mostly-true,Barack Obama,Says a majority of Americans -- and Republicans -- support his approach for deficit reduction.,3/1/2013,news,Becky Bowers,3/1/2013,https://www.politifact.com/factchecks/2013/mar/01/barack-obama/barack-obama-says-majority-american-people-agree-m/
FALSE,Nancy Pelosi,Says 11 soccer players on the U.S. Men’s National Team are immigrants.,6/17/2014,social_media,Steve Contorno,6/19/2014,https://www.politifact.com/factchecks/2014/jun/19/nancy-pelosi/are-there-immigrants-2014-us-mens-world-cup-team/
FALSE,John McCain,"Obama plans ""a tax increase for everyone earning more than $42,000 a year.""",8/11/2008,advertisement,Angie Drobnic Holan,8/12/2008,https://www.politifact.com/factchecks/2008/aug/12/john-mccain/obamas-tax-plan-hits-200000-and-up/
half-true,Joe Biden,"""Joe Biden is the only candidate with a plan to get us out of Iraq and keep us out.""",9/14/2007,advertisement,Angie Drobnic Holan,9/9/2007,https://www.politifact.com/factchecks/2007/sep/09/joe-biden/first-with-details-but-its-not-the-only-plan/
mostly-true,Marco Rubio,"The United States has ""an immigration system where only 6.5 percent of people who come here, come here based on labor and skill.""",1/12/2013,news,Amy Sherman,1/16/2013,https://www.politifact.com/factchecks/2013/jan/16/marco-rubio/marco-rubio-says-only-65-percent-immigrants-come-h/
mostly-true,Bernie Sanders,"""99 percent of all new income today (is) going to the top 1 percent.""",4/19/2015,news,Katie Sanders,4/19/2015,https://www.politifact.com/factchecks/2015/apr/19/bernie-sanders/bernie-sanders-says-99-percent-new-income-going-to/
mostly-true,Joe Biden,"""Millions of hardworking Americans will no longer have to worry about unexpected medical bills.""",2/10/2022,speech,Victoria Knight,3/1/2022,https://www.politifact.com/factchecks/2022/mar/01/joe-biden/bidens-blanket-statement-no-more-surprise-billing-/
mostly-true,Joe Biden,"Says Donald Trump ""proposes cutting a half a billion dollars of local police support.""",8/23/2020,news,Jon Greenberg,8/25/2020,https://www.politifact.com/factchecks/2020/aug/25/joe-biden/biden-says-trump-wants-cut-local-law-enforcement-a/
FALSE,Donald Trump,"""Our (COVID-19) numbers are better than almost all countries.""",8/17/2020,campaign,Jon Greenberg,8/18/2020,https://www.politifact.com/factchecks/2020/aug/18/donald-trump/donald-trump-says-us-top-globally-covid-19-fight-i/
FALSE,Donald Trump,"""Many presidents don’t get the chance to put a Supreme Court justice on.""",10/24/2018,speech,Louis Jacobson,10/25/2018,https://www.politifact.com/factchecks/2018/oct/25/donald-trump/donald-trump-said-many-presidents-dont-get-appoint/
half-true,Joe Biden,"""One percent of the American people make over 21 percent of all the income in America. That wasn’t the way before George Bush became president.""",10/23/2008,news,Robert Farley,10/27/2008,https://www.politifact.com/factchecks/2008/oct/27/joe-biden/the-rich-are-in-fact-getting-richer/
mostly-true,Barack Obama,"The DREAM Act ""was written by members of both parties. When it came up for a vote a year and a half ago, Republicans in Congress blocked it. The bill hadn’t changed. ... The only thing that had changed was politics.""",6/22/2012,speech,Molly Moorhead,6/26/2012,https://www.politifact.com/factchecks/2012/jun/26/barack-obama/obama-says-dream-act-hasnt-changed-republicans-sup/
TRUE,Mike Pence,"In 2017, ICE ""arrested more than 127,000 illegal immigrants with criminal convictions or facing charges of breaking our nation's’ laws,"" and removed nearly 5,000 gang members.",7/19/2018,speech,Miriam Valverde,7/25/2018,https://www.politifact.com/factchecks/2018/jul/25/mike-pence/mike-pence-accurately-cites-ice-arrest-deportation/
pants-fire,Donald Trump,"Says Wisconsin ""hadn’t been won by a Republican since Dwight D. Eisenhower, in 1952. And I won Wisconsin. …  Ronald Reagan, remember, Wisconsin was the state that Ronald Reagan did not win.""",6/28/2018,meeting,D.L. Davis,6/29/2018,https://www.politifact.com/factchecks/2018/jun/29/donald-trump/president-trump-makes-some-interesting-claims-abou/
FALSE,Donald Trump,"Under the Iran nuclear deal, ""we give them $150 billion, we get nothing.""",3/15/2016,speech,Linda Qiu,3/17/2016,https://www.politifact.com/factchecks/2016/mar/17/donald-trump/no-donald-trump-we-are-not-giving-iran-150-billion/
half-true,Donald Trump,"""Nobody's ever seen a number like this… (33.1%) economic growth is four times greater than what the experts expected.""",10/29/2020,speech,Jon Greenberg,10/30/2020,https://www.politifact.com/factchecks/2020/oct/30/donald-trump/donald-trump-says-gdp-growth-was-historic-beat-pre/
half-true,Donald Trump,"""I have the No. 1 show on NBC.""",4/7/2011,news,Louis Jacobson,4/8/2011,https://www.politifact.com/factchecks/2011/apr/08/donald-trump/donald-trump-says-his-show-no-1-nbc-he-right/
half-true,Marco Rubio,"Says Donald Trump hired illegal workers ""from Poland and he had to pay a million dollars or so in a judgment.""",2/25/2016,speech,Linda Qiu,2/25/2016,https://www.politifact.com/factchecks/2016/feb/26/marco-rubio/marco-rubio-says-donald-trump-had-pay-1-million-hi/
FALSE,Joe Biden,No U.S. presidents elected before Donald Trump were racist.,7/22/2020,speech,Sophie Austin,7/27/2020,https://www.politifact.com/factchecks/2020/jul/27/joe-biden/long-history-racism-us-presidency/
half-true,Bernie Sanders,"""It costs a hell of a lot more money to put somebody in jail than send them to the University of Virginia.""",10/28/2015,speech,Sean Gorman,11/23/2015,https://www.politifact.com/factchecks/2015/nov/23/bernie-sanders/sanders-says-it-costs-more-send-person-prison-univ/
FALSE,Donald Trump,"Under President Barack Obama, income levels and unemployment numbers ""are worse now than just about ever"" for African-Americans.",8/2/2015,news,Louis Jacobson,8/2/2015,https://www.politifact.com/factchecks/2015/aug/02/donald-trump/donald-trump-black-income-unemployment-worse-now-j/
mostly-false,Donald Trump,"""There’s a tremendous tax that we pay when we (American businesses) go into China, whereas when China sells to us there’s no tax.""",3/26/2016,news,Jon Greenberg,3/30/2016,https://www.politifact.com/factchecks/2016/mar/30/donald-trump/trump-miscasts-impact-trade-chinese-taxes/
